SubID,mean_sts_score,SPANE_P_pre,SPANE_N_pre,SPANE_Balance_pre,SPANE_P_post,SPANE_N_post,SPANE_Balance_post,SPANE_P_change,SPANE_N_change,SPANE_Balance_change,Group
504005,0.554018,20.0,16.0,4.0,28.0,7.0,21.0,8.0,-9.0,17.0,control
513280,0.56559443,19.0,18.0,1.0,21.0,17.0,4.0,2.0,-1.0,3.0,explore
514869,0.5896252,24.0,14.0,10.0,22.0,9.0,13.0,-2.0,-5.0,3.0,exploit
526645,0.5952699,24.0,16.0,8.0,25.0,7.0,18.0,1.0,-9.0,10.0,control
527924,0.5737263,18.0,19.0,-1.0,23.0,14.0,9.0,5.0,-5.0,10.0,explore
551759,0.5718577,25.0,12.0,13.0,19.0,7.0,12.0,-6.0,-5.0,-1.0,control
553910,0.58008623,25.0,10.0,15.0,22.0,6.0,16.0,-3.0,-4.0,1.0,exploit
554266,0.55843127,21.0,15.0,6.0,26.0,6.0,20.0,5.0,-9.0,14.0,exploit
562583,0.56456983,19.0,9.0,10.0,14.0,6.0,8.0,-5.0,-3.0,-2.0,explore
566603,0.5789119,21.0,26.0,-5.0,21.0,6.0,15.0,0.0,-20.0,20.0,exploit
566635,0.56773823,22.0,16.0,6.0,14.0,8.0,6.0,-8.0,-8.0,0.0,control
567234,0.5903116,22.0,12.0,10.0,24.0,7.0,17.0,2.0,-5.0,7.0,explore
569486,0.57650244,24.0,18.0,6.0,26.0,7.0,19.0,2.0,-11.0,13.0,control
571491,0.5856311,25.0,7.0,18.0,16.0,7.0,9.0,-9.0,0.0,-9.0,control
578402,0.595781,25.0,14.0,11.0,18.0,12.0,6.0,-7.0,-2.0,-5.0,explore
594825,0.58751476,22.0,17.0,5.0,22.0,14.0,8.0,0.0,-3.0,3.0,control
598908,0.571097,17.0,13.0,4.0,22.0,10.0,12.0,5.0,-3.0,8.0,explore
610382,0.58356345,22.0,16.0,6.0,20.0,7.0,13.0,-2.0,-9.0,7.0,control
612428,0.5901801,15.0,17.0,-2.0,25.0,14.0,11.0,10.0,-3.0,13.0,exploit
616497,0.5786592,24.0,13.0,11.0,22.0,6.0,16.0,-2.0,-7.0,5.0,control
620071,0.5826696,15.0,19.0,-4.0,13.0,7.0,6.0,-2.0,-12.0,10.0,explore
632601,0.57733583,23.0,14.0,9.0,18.0,12.0,6.0,-5.0,-2.0,-3.0,control
636532,0.57989824,21.0,17.0,4.0,26.0,8.0,18.0,5.0,-9.0,14.0,exploit
643457,0.5619241,23.0,14.0,9.0,20.0,9.0,11.0,-3.0,-5.0,2.0,exploit
650665,0.5613801,24.0,15.0,9.0,24.0,6.0,18.0,0.0,-9.0,9.0,control
660772,0.6022295,17.0,15.0,2.0,26.0,6.0,20.0,9.0,-9.0,18.0,explore
661074,0.6066278,17.0,19.0,-2.0,21.0,6.0,15.0,4.0,-13.0,17.0,control
674615,0.5811891,23.0,21.0,2.0,20.0,17.0,3.0,-3.0,-4.0,1.0,control
683727,0.5660317,9.0,22.0,-13.0,25.0,13.0,12.0,16.0,-9.0,25.0,control
685701,0.5677091,25.0,12.0,13.0,14.0,6.0,8.0,-11.0,-6.0,-5.0,control
688468,0.56462914,19.0,14.0,5.0,25.0,9.0,16.0,6.0,-5.0,11.0,explore
689043,0.5677937,24.0,12.0,12.0,20.0,7.0,13.0,-4.0,-5.0,1.0,explore
690857,0.58518606,20.0,12.0,8.0,14.0,6.0,8.0,-6.0,-6.0,0.0,explore
694133,0.5680956,24.0,14.0,10.0,22.0,7.0,15.0,-2.0,-7.0,5.0,control
694299,0.5791942,17.0,25.0,-8.0,22.0,12.0,10.0,5.0,-13.0,18.0,control
696373,0.5839593,25.0,20.0,5.0,22.0,8.0,14.0,-3.0,-12.0,9.0,control
703958,0.5898163,23.0,15.0,8.0,26.0,6.0,20.0,3.0,-9.0,12.0,control
705965,0.57493097,22.0,19.0,3.0,21.0,10.0,11.0,-1.0,-9.0,8.0,control
706895,0.6280983,25.0,11.0,14.0,27.0,6.0,21.0,2.0,-5.0,7.0,exploit
715202,0.56046253,27.0,11.0,16.0,13.0,6.0,7.0,-14.0,-5.0,-9.0,control
721530,0.57981265,22.0,12.0,10.0,24.0,11.0,13.0,2.0,-1.0,3.0,exploit
727626,0.57001436,22.0,11.0,11.0,23.0,8.0,15.0,1.0,-3.0,4.0,exploit
728827,0.56030405,20.0,15.0,5.0,23.0,12.0,11.0,3.0,-3.0,6.0,control
730978,0.6194105,24.0,16.0,8.0,13.0,6.0,7.0,-11.0,-10.0,-1.0,control
737930,0.5654711,22.0,12.0,10.0,28.0,6.0,22.0,6.0,-6.0,12.0,explore
748631,0.59431857,24.0,13.0,11.0,6.0,15.0,-9.0,-18.0,2.0,-20.0,control
752013,0.56807923,23.0,19.0,4.0,24.0,10.0,14.0,1.0,-9.0,10.0,control
756517,0.56088996,25.0,15.0,10.0,21.0,10.0,11.0,-4.0,-5.0,1.0,exploit
784170,0.6077397,23.0,10.0,13.0,22.0,6.0,16.0,-1.0,-4.0,3.0,control
789389,0.5669102,20.0,11.0,9.0,19.0,8.0,11.0,-1.0,-3.0,2.0,exploit
792000,0.58020055,25.0,17.0,8.0,19.0,8.0,11.0,-6.0,-9.0,3.0,control
808558,0.57199466,24.0,16.0,8.0,22.0,10.0,12.0,-2.0,-6.0,4.0,control
